role,clean_skills,count,importance
backend,,738,0.08609426038264116
backend,.net  5+,2618,0.3054129724685021
backend,.net framework  1.0 - 4.8,1589,0.18537097526831545
backend,.net maui,169,0.019715352309846012
backend,5 days a week,1,0.00011665888940737284
backend,ability to work in a fastpaced environment,1,0.00011665888940737284
backend,ability to work independently and as part of a team,1,0.00011665888940737284
backend,ada,58,0.006766215585627624
backend,agile,12,0.0013999066728884741
backend,agile development,1,0.00011665888940737284
backend,airflow,16,0.0018665422305179655
backend,algorithms,1,0.00011665888940737284
backend,amazon web server  aws,3,0.00034997666822211853
backend,angular,1736,0.20251983201119925
backend,angular 7.0,1,0.00011665888940737284
backend,ansible,1309,0.15270648623425104
backend,ant,423,0.04934671021931871
backend,apache kafka,2121,0.2474335044330378
backend,apache spark,553,0.06451236584227718
backend,apex,60,0.006999533364442371
backend,api,6,0.0006999533364442371
backend,apis,2,0.0002333177788147457
backend,apl,8,0.0009332711152589828
backend,apt,817,0.09531031264582361
backend,asp.net,2336,0.27251516565562295
backend,assembly,310,0.03616425571628558
backend,automated integration tests,1,0.00011665888940737284
backend,automation,1,0.00011665888940737284
backend,automation testing,13,0.001516565562295847
backend,aws,23,0.0026831544563695755
backend,azure,10,0.0011665888940737283
backend,back end data engineering,1,0.00011665888940737284
backend,backend data engineering,1,0.00011665888940737284
backend,backend development,1,0.00011665888940737284
backend,backend engineering,2,0.0002333177788147457
backend,bandit,85,0.009916005599626692
backend,bash,4500,0.5249650023331778
backend,batch,1,0.00011665888940737284
backend,birthday off,1,0.00011665888940737284
backend,blazor,494,0.057629491367242186
backend,boost.test,51,0.005949603359776015
backend,build2,10,0.0011665888940737283
backend,bun,38,0.004433037797480168
backend,business analysis,1,0.00011665888940737284
backend,business research,1,0.00011665888940737284
backend,c,1692,0.19738684087727484
backend,c#,3334,0.38894073728418105
backend,c++,2122,0.24755016332244517
backend,canva,1,0.00011665888940737284
backend,capacitor,62,0.0072328511432571164
backend,cargo,1575,0.18373775081661223
backend,catch2,87,0.010149323378441438
backend,cd,1,0.00011665888940737284
backend,certificate,2,0.0002333177788147457
backend,chef,128,0.014932337844143724
backend,chocolatey,843,0.0983434437704153
backend,ci,1,0.00011665888940737284
backend,ci cd,11,0.0012832477834811013
backend,ci cd basics,2,0.0002333177788147457
backend,clojure,250,0.02916472235184321
backend,cloud,3,0.00034997666822211853
backend,cloud basics,4,0.0004666355576294914
backend,cloud computing,6,0.0006999533364442371
backend,cloud data pipelines,11,0.0012832477834811013
backend,cloud engineering,2,0.0002333177788147457
backend,cloud platforms,1,0.00011665888940737284
backend,cloud solutions,1,0.00011665888940737284
backend,cmake,1310,0.1528231451236584
backend,cobol,52,0.006066262249183388
backend,code maintainability,1,0.00011665888940737284
backend,codeigniter,186,0.02169855342977135
backend,collaboration,2,0.0002333177788147457
backend,communication,3,0.00034997666822211853
backend,communication skills,1,0.00011665888940737284
backend,compiler design and development,1,0.00011665888940737284
backend,complex problemsolving,1,0.00011665888940737284
backend,composer,1080,0.12599160055996267
backend,computer architecture,1,0.00011665888940737284
backend,computer networking,1,0.00011665888940737284
backend,computer vision,7,0.0008166122258516099
backend,containers,1,0.00011665888940737284
backend,continuous delivery,14,0.0016332244517032197
backend,continuous integration,15,0.0017498833411105927
backend,cordova,102,0.01189920671955203
backend,cppunit,47,0.005482967802146524
backend,critical thinking,1,0.00011665888940737284
backend,crossfunctional collaboration,4,0.0004666355576294914
backend,crossfunctional impact,4,0.0004666355576294914
backend,crystal,45,0.005249650023331778
backend,css,4675,0.545380307979468
backend,cuda,254,0.029631357909472703
backend,cute,2,0.0002333177788147457
backend,dagger,123,0.01434904339710686
backend,dart,421,0.049113392440503965
backend,data architecture,1,0.00011665888940737284
backend,data capture,2,0.0002333177788147457
backend,data extraction,1,0.00011665888940737284
backend,data governance,1,0.00011665888940737284
backend,data infrastructure,1,0.00011665888940737284
backend,data ingestion,8,0.0009332711152589828
backend,data integration,1,0.00011665888940737284
