,job_title,skills_required,posting_date,month
0,data scientist,pytorch,2023-09-21,2023-09
0,data scientist,tensorflow,2023-09-21,2023-09
0,data scientist,aws,2023-09-21,2023-09
0,data scientist,c++,2023-09-21,2023-09
0,data scientist,gcp,2023-09-21,2023-09
1,ai product manager,tensorflow,2023-09-21,2023-09
1,ai product manager,gcp,2023-09-21,2023-09
1,ai product manager,cuda,2023-09-21,2023-09
1,ai product manager,r,2023-09-21,2023-09
2,quant researcher,hugging face,2023-09-21,2023-09
2,quant researcher,flask,2023-09-21,2023-09
2,quant researcher,scikit-learn,2023-09-21,2023-09
2,quant researcher,gcp,2023-09-21,2023-09
3,data analyst,flask,2023-09-22,2023-09
3,data analyst,fastapi,2023-09-22,2023-09
3,data analyst,cuda,2023-09-22,2023-09
3,data analyst,aws,2023-09-22,2023-09
4,quant researcher,pytorch,2023-09-22,2023-09
4,quant researcher,pandas,2023-09-22,2023-09
4,quant researcher,tensorflow,2023-09-22,2023-09
4,quant researcher,azure,2023-09-22,2023-09
4,quant researcher,numpy,2023-09-22,2023-09
5,data scientist,hugging face,2023-09-22,2023-09
5,data scientist,scikit-learn,2023-09-22,2023-09
5,data scientist,c++,2023-09-22,2023-09
5,data scientist,excel,2023-09-22,2023-09
5,data scientist,azure,2023-09-22,2023-09
6,ai researcher,pytorch,2023-09-23,2023-09
6,ai researcher,hugging face,2023-09-23,2023-09
6,ai researcher,gcp,2023-09-23,2023-09
6,ai researcher,keras,2023-09-23,2023-09
6,ai researcher,tensorflow,2023-09-23,2023-09
6,ai researcher,aws,2023-09-23,2023-09
7,quant researcher,python,2023-09-23,2023-09
7,quant researcher,r,2023-09-23,2023-09
7,quant researcher,tensorflow,2023-09-23,2023-09
7,quant researcher,aws,2023-09-23,2023-09
7,quant researcher,hugging face,2023-09-23,2023-09
7,quant researcher,gcp,2023-09-23,2023-09
8,ai researcher,tensorflow,2023-09-23,2023-09
8,ai researcher,r,2023-09-23,2023-09
8,ai researcher,fastapi,2023-09-23,2023-09
8,ai researcher,pandas,2023-09-23,2023-09
8,ai researcher,power bi,2023-09-23,2023-09
9,quant researcher,hugging face,2023-09-24,2023-09
9,quant researcher,mlflow,2023-09-24,2023-09
9,quant researcher,cuda,2023-09-24,2023-09
10,data scientist,mlflow,2023-09-24,2023-09
10,data scientist,fastapi,2023-09-24,2023-09
10,data scientist,gcp,2023-09-24,2023-09
11,data scientist,langchain,2023-09-25,2023-09
11,data scientist,hugging face,2023-09-25,2023-09
11,data scientist,excel,2023-09-25,2023-09
11,data scientist,reinforcement learning,2023-09-25,2023-09
11,data scientist,python,2023-09-25,2023-09
12,ai product manager,tensorflow,2023-09-25,2023-09
12,ai product manager,c++,2023-09-25,2023-09
12,ai product manager,sql,2023-09-25,2023-09
12,ai product manager,hugging face,2023-09-25,2023-09
12,ai product manager,flask,2023-09-25,2023-09
12,ai product manager,power bi,2023-09-25,2023-09
13,quant researcher,pandas,2023-09-26,2023-09
13,quant researcher,keras,2023-09-26,2023-09
13,quant researcher,python,2023-09-26,2023-09
13,quant researcher,numpy,2023-09-26,2023-09
13,quant researcher,gcp,2023-09-26,2023-09
14,computer vision engineer,python,2023-09-26,2023-09
14,computer vision engineer,c++,2023-09-26,2023-09
14,computer vision engineer,numpy,2023-09-26,2023-09
14,computer vision engineer,reinforcement learning,2023-09-26,2023-09
14,computer vision engineer,gcp,2023-09-26,2023-09
15,computer vision engineer,scikit-learn,2023-09-26,2023-09
15,computer vision engineer,flask,2023-09-26,2023-09
15,computer vision engineer,pytorch,2023-09-26,2023-09
15,computer vision engineer,sql,2023-09-26,2023-09
16,ai product manager,cuda,2023-09-26,2023-09
16,ai product manager,sql,2023-09-26,2023-09
16,ai product manager,azure,2023-09-26,2023-09
16,ai product manager,mlflow,2023-09-26,2023-09
16,ai product manager,python,2023-09-26,2023-09
16,ai product manager,gcp,2023-09-26,2023-09
17,computer vision engineer,pytorch,2023-09-26,2023-09
17,computer vision engineer,python,2023-09-26,2023-09
17,computer vision engineer,flask,2023-09-26,2023-09
18,quant researcher,hugging face,2023-09-26,2023-09
18,quant researcher,langchain,2023-09-26,2023-09
18,quant researcher,keras,2023-09-26,2023-09
18,quant researcher,numpy,2023-09-26,2023-09
19,ai product manager,pytorch,2023-09-27,2023-09
19,ai product manager,scikit-learn,2023-09-27,2023-09
19,ai product manager,c++,2023-09-27,2023-09
20,quant researcher,pytorch,2023-09-27,2023-09
20,quant researcher,aws,2023-09-27,2023-09
20,quant researcher,sql,2023-09-27,2023-09
21,nlp engineer,c++,2023-09-27,2023-09
21,nlp engineer,hugging face,2023-09-27,2023-09
